bar_idx,ts_ms,close,action,confidence,state,regime,ofi_z,hawkes,prob_above,prob_below
273,1701409560000,39296.0,HOLD,0.0,NORMAL,RANGING,-2.4586,0.1,0.5,0.5
274,1701409680000,39283.2,HOLD,0.0,NORMAL,RANGING,0.0142,0.2,0.5,0.5
275,1701409740000,39284.1,HOLD,0.0,NORMAL,RANGING,0.0274,0.1,0.5,0.5
276,1701409800000,39278.4,HOLD,0.0,NORMAL,RANGING,-0.2018,0.4,0.5,0.5
277,1701409860000,39278.4,HOLD,0.0,NORMAL,RANGING,0.0093,0.1,0.5,0.5
278,1701409920000,39267.1,HOLD,0.0,NORMAL,RANGING,-0.2667,0.4,0.5,0.5
279,1701409980000,39288.1,HOLD,0.0,NORMAL,RANGING,0.0914,1.0,0.5,0.5
280,1701410040000,39267.1,HOLD,0.0,NORMAL,RANGING,0.068,0.5,0.5,0.5
281,1701410100000,39288.9,HOLD,0.0,NORMAL,RANGING,0.0453,0.9,0.5,0.5
282,1701410160000,39288.9,HOLD,0.0,NORMAL,RANGING,-0.008,0.4,0.5,0.5
283,1701410220000,39278.0,HOLD,0.0,NORMAL,RANGING,2.5398,0.1,0.5,0.5
284,1701410340000,39288.1,HOLD,0.0,NORMAL,RANGING,-2.5177,0.5,0.5,0.5
285,1701410400000,39272.0,HOLD,0.0,NORMAL,RANGING,0.0559,0.2,0.5,0.5
286,1701410460000,39264.7,HOLD,0.0,NORMAL,RANGING,-0.0435,0.6,0.5,0.5
287,1701410520000,39264.7,HOLD,0.0,NORMAL,RANGING,-0.1696,0.3,0.5,0.5
288,1701410580000,39256.3,HOLD,0.0,NORMAL,RANGING,-0.0642,0.6,0.5,0.5
289,1701410640000,39257.3,HOLD,0.0,NORMAL,RANGING,0.0562,0.1,0.5,0.5
290,1701410700000,39257.0,HOLD,0.0,NORMAL,RANGING,0.0433,0.1,0.5,0.5
291,1701410760000,39245.9,HOLD,0.0,NORMAL,RANGING,0.0515,0.3,0.5,0.5
292,1701411000000,39246.0,HOLD,0.0,NORMAL,RANGING,0.0753,0.3,0.5,0.5
293,1701411060000,39246.9,HOLD,0.0,NORMAL,RANGING,0.0885,0.2,0.5,0.5
294,1701411120000,39263.4,SELL,0.5869,PRE_SWEEP_BUILDUP,RANGING,0.1186,1.8,0.376,0.624
295,1701411300000,39253.4,HOLD,0.0,NORMAL,RANGING,0.0269,0.4,0.5,0.5
296,1701411540000,39261.8,HOLD,0.0,NORMAL,RANGING,0.0828,0.2,0.5,0.5
297,1701411600000,39259.6,HOLD,0.0,NORMAL,RANGING,0.5658,0.1,0.5,0.5
298,1701411660000,39261.6,HOLD,0.0,NORMAL,RANGING,0.0672,0.1,0.5,0.5
299,1701411720000,39270.3,HOLD,0.0,NORMAL,RANGING,0.0807,0.5,0.5,0.5
300,1701411840000,39276.6,HOLD,0.0,NORMAL,RANGING,-0.2009,0.2,0.5,0.5
301,1701411900000,39257.7,HOLD,0.0,NORMAL,RANGING,-0.2095,0.1,0.5,0.5
302,1701412080000,39258.5,HOLD,0.0,NORMAL,RANGING,0.2022,0.7,0.5,0.5
303,1701412140000,39260.4,HOLD,0.0,NORMAL,RANGING,-0.0281,0.1,0.5,0.5
304,1701412200000,39257.6,HOLD,0.0,NORMAL,RANGING,-0.01,0.1,0.5,0.5
305,1701412260000,39257.6,HOLD,0.0,NORMAL,RANGING,-0.9645,0.1,0.5,0.5
306,1701412320000,39257.6,HOLD,0.0,NORMAL,RANGING,0.2034,0.2,0.5,0.5
307,1701412380000,39256.8,HOLD,0.0,NORMAL,RANGING,0.0164,0.6,0.5,0.5
308,1701412440000,39257.6,HOLD,0.0,NORMAL,RANGING,0.0446,0.6,0.5,0.5
311,1701412620000,39292.1,HOLD,0.0,NORMAL,RANGING,-0.0199,0.8,0.5,0.5
312,1701412680000,39302.5,HOLD,0.0,NORMAL,RANGING,0.068,0.4,0.5,0.5
313,1701412740000,39302.6,HOLD,0.0,NORMAL,RANGING,-0.1122,0.8,0.5,0.5
